"Dec 1, 2009", GSW at DEN,3,25,Made,55-67
"Dec 1, 2009", GSW at DEN,2,0,Made,57-71
"Dec 1, 2009", GSW at DEN,3,24,Made,64-83
"Dec 1, 2009", GSW at DEN,2,21,Missed,64-84
"Dec 1, 2009", GSW at DEN,2,11,Missed,66-90
"Dec 1, 2009", GSW at DEN,3,26,Missed,73-97
"Dec 1, 2009", GSW at DEN,2,0,Missed,81-107
"Dec 1, 2009", GSW at DEN,2,0,Missed,81-107
"Dec 1, 2009", GSW at DEN,3,25,Missed,98-119
"Dec 1, 2009", GSW at DEN,2,22,Missed,103-125
"Dec 3, 2009", GSW vs HOU,2,16,Missed,0-0
"Dec 3, 2009", GSW vs HOU,3,23,Made,8-6
"Dec 3, 2009", GSW vs HOU,2,10,Missed,19-14
"Dec 3, 2009", GSW vs HOU,3,24,Missed,19-16
"Dec 3, 2009", GSW vs HOU,2,7,Made,61-62
"Dec 3, 2009", GSW vs HOU,3,26,Missed,69-67
"Dec 3, 2009", GSW vs HOU,2,5,Made,95-87
"Dec 3, 2009", GSW vs HOU,2,17,Made,101-92
"Dec 5, 2009", GSW vs ORL,2,20,Made,2-5
"Dec 5, 2009", GSW vs ORL,2,20,Made,4-11
"Dec 5, 2009", GSW vs ORL,2,22,Made,9-13
"Dec 5, 2009", GSW vs ORL,2,3,Made,17-30
"Dec 5, 2009", GSW vs ORL,2,17,Missed,35-46
"Dec 5, 2009", GSW vs ORL,2,18,Missed,68-78
"Dec 5, 2009", GSW vs ORL,2,12,Made,93-93
"Dec 5, 2009", GSW vs ORL,3,23,Missed,100-97
"Dec 5, 2009", GSW vs ORL,2,21,Missed,100-97
"Dec 5, 2009", GSW vs ORL,2,2,Made,102-97
"Dec 5, 2009", GSW vs ORL,3,27,Missed,106-103
"Dec 5, 2009", GSW vs ORL,2,17,Missed,108-105
"Dec 7, 2009", GSW at OKC,2,18,Made,10-6
"Dec 7, 2009", GSW at OKC,3,24,Missed,21-16
"Dec 7, 2009", GSW at OKC,2,18,Made,23-18
"Dec 7, 2009", GSW at OKC,2,0,Missed,25-24
"Dec 7, 2009", GSW at OKC,2,0,Made,37-41
"Dec 7, 2009", GSW at OKC,2,0,Made,40-43
"Dec 7, 2009", GSW at OKC,3,24,Made,54-60
"Dec 7, 2009", GSW at OKC,2,23,Missed,67-77
"Dec 7, 2009", GSW at OKC,2,21,Made,69-79
"Dec 7, 2009", GSW at OKC,2,16,Missed,69-83
"Dec 7, 2009", GSW at OKC,2,0,Made,71-83
"Dec 7, 2009", GSW at OKC,3,24,Made,81-94
"Dec 7, 2009", GSW at OKC,3,25,Missed,81-94
"Dec 7, 2009", GSW at OKC,2,0,Made,88-102
"Dec 9, 2009", GSW at NJN,2,0,Made,2-0
"Dec 9, 2009", GSW at NJN,2,17,Made,5-2
"Dec 9, 2009", GSW at NJN,3,24,Missed,7-4
"Dec 9, 2009", GSW at NJN,2,16,Missed,9-14
"Dec 9, 2009", GSW at NJN,3,25,Missed,9-14
"Dec 9, 2009", GSW at NJN,2,0,Made,15-20
"Dec 9, 2009", GSW at NJN,3,25,Missed,15-22
"Dec 9, 2009", GSW at NJN,2,0,Made,29-29
"Dec 9, 2009", GSW at NJN,3,24,Made,34-31
"Dec 9, 2009", GSW at NJN,2,22,Missed,39-38
"Dec 9, 2009", GSW at NJN,2,0,Missed,62-50
"Dec 9, 2009", GSW at NJN,2,0,Made,68-50
"Dec 9, 2009", GSW at NJN,2,0,Missed,70-54
"Dec 11, 2009", GSW at CHI,3,25,Missed,11-14
"Dec 11, 2009", GSW at CHI,2,0,Missed,11-14
"Dec 11, 2009", GSW at CHI,2,22,Made,25-22
"Dec 11, 2009", GSW at CHI,3,26,Missed,25-24
"Dec 11, 2009", GSW at CHI,2,11,Made,53-44
"Dec 11, 2009", GSW at CHI,3,25,Missed,58-54
"Dec 11, 2009", GSW at CHI,2,23,Missed,58-59
"Dec 11, 2009", GSW at CHI,2,21,Missed,58-63
"Dec 11, 2009", GSW at CHI,2,0,Made,70-69
